author,publication,title,content
NYT_Author_1,The New York Times,Sample Title 25 by NYT_Author_1,Many people are concerned about stock and its effects. A new report on market was published yesterday. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 26 by NYT_Author_1,A new report on market was published yesterday. Experts discussed how stock impacts society today. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 27 by NYT_Author_1,Many people are concerned about stock and its effects. The recent economy has sparked debate in the media. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 28 by NYT_Author_1,Experts discussed how stock impacts society today. Experts discussed how stock impacts society today. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 29 by NYT_Author_1,A new report on market was published yesterday. A new report on market was published yesterday. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 30 by NYT_Author_1,The issue of economy continues to make headlines. The recent economy has sparked debate in the media. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 31 by NYT_Author_1,Experts discussed how stock impacts society today. Many people are concerned about stock and its effects. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 32 by NYT_Author_1,The recent economy has sparked debate in the media. The recent economy has sparked debate in the media. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 33 by NYT_Author_1,Many people are concerned about stock and its effects. Experts discussed how stock impacts society today. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 34 by NYT_Author_1,Experts discussed how stock impacts society today. A new report on market was published yesterday. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 35 by NYT_Author_1,A new report on market was published yesterday. The recent economy has sparked debate in the media. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 36 by NYT_Author_1,Many people are concerned about stock and its effects. The recent economy has sparked debate in the media. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 37 by NYT_Author_1,A new report on market was published yesterday. Experts discussed how stock impacts society today. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 38 by NYT_Author_1,Experts discussed how stock impacts society today. A new report on market was published yesterday. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 39 by NYT_Author_1,A new report on market was published yesterday. Experts discussed how stock impacts society today. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 40 by NYT_Author_1,Many people are concerned about stock and its effects. Many people are concerned about stock and its effects. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 41 by NYT_Author_1,Experts discussed how stock impacts society today. The recent economy has sparked debate in the media. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 42 by NYT_Author_1,The issue of economy continues to make headlines. The recent economy has sparked debate in the media. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 43 by NYT_Author_1,The issue of economy continues to make headlines. Many people are concerned about stock and its effects. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 44 by NYT_Author_1,The recent economy has sparked debate in the media. Experts discussed how stock impacts society today. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 45 by NYT_Author_1,A new report on market was published yesterday. A new report on market was published yesterday. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 46 by NYT_Author_1,Experts discussed how stock impacts society today. Experts discussed how stock impacts society today. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 47 by NYT_Author_1,The recent economy has sparked debate in the media. Many people are concerned about stock and its effects. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 48 by NYT_Author_1,Many people are concerned about stock and its effects. Many people are concerned about stock and its effects. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 49 by NYT_Author_1,Many people are concerned about stock and its effects. The issue of economy continues to make headlines. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 50 by NYT_Author_1,Many people are concerned about stock and its effects. The issue of economy continues to make headlines. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 51 by NYT_Author_1,The recent economy has sparked debate in the media. The issue of economy continues to make headlines. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 52 by NYT_Author_1,The issue of economy continues to make headlines. A new report on market was published yesterday. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 53 by NYT_Author_1,Many people are concerned about stock and its effects. The recent economy has sparked debate in the media. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 54 by NYT_Author_1,A new report on market was published yesterday. Experts discussed how stock impacts society today. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 55 by NYT_Author_1,Many people are concerned about stock and its effects. A new report on market was published yesterday. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 56 by NYT_Author_1,Experts discussed how stock impacts society today. A new report on market was published yesterday. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 57 by NYT_Author_1,A new report on market was published yesterday. The recent economy has sparked debate in the media. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 58 by NYT_Author_1,The issue of economy continues to make headlines. Experts discussed how stock impacts society today. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 59 by NYT_Author_1,A new report on market was published yesterday. The recent economy has sparked debate in the media. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 60 by NYT_Author_1,The issue of economy continues to make headlines. Experts discussed how stock impacts society today. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 61 by NYT_Author_1,Experts discussed how stock impacts society today. The issue of economy continues to make headlines. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 62 by NYT_Author_1,A new report on market was published yesterday. The issue of economy continues to make headlines. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 63 by NYT_Author_1,The issue of economy continues to make headlines. Experts discussed how stock impacts society today. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 64 by NYT_Author_1,Many people are concerned about stock and its effects. The recent economy has sparked debate in the media. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 65 by NYT_Author_1,A new report on market was published yesterday. Experts discussed how stock impacts society today. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 66 by NYT_Author_1,Experts discussed how stock impacts society today. Many people are concerned about stock and its effects. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 67 by NYT_Author_1,Many people are concerned about stock and its effects. The issue of economy continues to make headlines. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 68 by NYT_Author_1,Experts discussed how stock impacts society today. The recent economy has sparked debate in the media. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 69 by NYT_Author_1,A new report on market was published yesterday. Experts discussed how stock impacts society today. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 70 by NYT_Author_1,Many people are concerned about stock and its effects. A new report on market was published yesterday. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 71 by NYT_Author_1,The recent economy has sparked debate in the media. The issue of economy continues to make headlines. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 72 by NYT_Author_1,The issue of economy continues to make headlines. A new report on market was published yesterday. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 73 by NYT_Author_1,A new report on market was published yesterday. Many people are concerned about stock and its effects. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 74 by NYT_Author_1,A new report on market was published yesterday. The recent economy has sparked debate in the media. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 75 by NYT_Author_1,A new report on market was published yesterday. A new report on market was published yesterday. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 76 by NYT_Author_1,Many people are concerned about stock and its effects. The issue of economy continues to make headlines. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 77 by NYT_Author_1,Many people are concerned about stock and its effects. A new report on market was published yesterday. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 78 by NYT_Author_1,The issue of economy continues to make headlines. A new report on market was published yesterday. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 79 by NYT_Author_1,The recent economy has sparked debate in the media. Many people are concerned about stock and its effects. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 80 by NYT_Author_1,Experts discussed how stock impacts society today. The recent economy has sparked debate in the media. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 81 by NYT_Author_1,Many people are concerned about stock and its effects. The issue of economy continues to make headlines. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 82 by NYT_Author_1,The issue of economy continues to make headlines. The recent economy has sparked debate in the media. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 83 by NYT_Author_1,Many people are concerned about stock and its effects. The issue of economy continues to make headlines. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 84 by NYT_Author_1,The recent economy has sparked debate in the media. Experts discussed how stock impacts society today. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 85 by NYT_Author_1,A new report on market was published yesterday. Many people are concerned about stock and its effects. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 86 by NYT_Author_1,Many people are concerned about stock and its effects. The issue of economy continues to make headlines. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 87 by NYT_Author_1,A new report on market was published yesterday. The recent economy has sparked debate in the media. Many people are concerned about stock and its effects.
NYT_Author_1,The New York Times,Sample Title 88 by NYT_Author_1,Experts discussed how stock impacts society today. Experts discussed how stock impacts society today. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 89 by NYT_Author_1,A new report on market was published yesterday. The recent economy has sparked debate in the media. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 90 by NYT_Author_1,Many people are concerned about stock and its effects. The recent economy has sparked debate in the media. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 91 by NYT_Author_1,A new report on market was published yesterday. Many people are concerned about stock and its effects. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 92 by NYT_Author_1,Experts discussed how stock impacts society today. The recent economy has sparked debate in the media. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 93 by NYT_Author_1,Experts discussed how stock impacts society today. The recent economy has sparked debate in the media. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 94 by NYT_Author_1,The recent economy has sparked debate in the media. The issue of economy continues to make headlines. The recent economy has sparked debate in the media.
NYT_Author_1,The New York Times,Sample Title 95 by NYT_Author_1,Many people are concerned about stock and its effects. The issue of economy continues to make headlines. A new report on market was published yesterday.
NYT_Author_1,The New York Times,Sample Title 96 by NYT_Author_1,A new report on market was published yesterday. The issue of economy continues to make headlines. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 97 by NYT_Author_1,A new report on market was published yesterday. A new report on market was published yesterday. The issue of economy continues to make headlines.
NYT_Author_1,The New York Times,Sample Title 98 by NYT_Author_1,Many people are concerned about stock and its effects. Many people are concerned about stock and its effects. Experts discussed how stock impacts society today.
NYT_Author_1,The New York Times,Sample Title 99 by NYT_Author_1,Many people are concerned about stock and its effects. Experts discussed how stock impacts society today. The recent economy has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 0 by NYT_Author_2,A new report on vaccine was published yesterday. A new report on vaccine was published yesterday. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 1 by NYT_Author_2,The recent health has sparked debate in the media. A new report on vaccine was published yesterday. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 2 by NYT_Author_2,The issue of health continues to make headlines. Experts discussed how hospital impacts society today. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 3 by NYT_Author_2,Experts discussed how hospital impacts society today. The issue of health continues to make headlines. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 4 by NYT_Author_2,The recent health has sparked debate in the media. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 5 by NYT_Author_2,A new report on vaccine was published yesterday. Experts discussed how hospital impacts society today. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 6 by NYT_Author_2,The recent health has sparked debate in the media. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 7 by NYT_Author_2,The recent health has sparked debate in the media. A new report on vaccine was published yesterday. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 8 by NYT_Author_2,A new report on vaccine was published yesterday. A new report on vaccine was published yesterday. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 9 by NYT_Author_2,A new report on vaccine was published yesterday. A new report on vaccine was published yesterday. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 10 by NYT_Author_2,The issue of health continues to make headlines. The issue of health continues to make headlines. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 11 by NYT_Author_2,Many people are concerned about hospital and its effects. The recent health has sparked debate in the media. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 12 by NYT_Author_2,The recent health has sparked debate in the media. Experts discussed how hospital impacts society today. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 13 by NYT_Author_2,The recent health has sparked debate in the media. Many people are concerned about hospital and its effects. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 14 by NYT_Author_2,Many people are concerned about hospital and its effects. The recent health has sparked debate in the media. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 15 by NYT_Author_2,Many people are concerned about hospital and its effects. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 16 by NYT_Author_2,The issue of health continues to make headlines. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 17 by NYT_Author_2,The recent health has sparked debate in the media. The recent health has sparked debate in the media. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 18 by NYT_Author_2,Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 19 by NYT_Author_2,Experts discussed how hospital impacts society today. The issue of health continues to make headlines. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 20 by NYT_Author_2,The recent health has sparked debate in the media. The issue of health continues to make headlines. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 21 by NYT_Author_2,The recent health has sparked debate in the media. Many people are concerned about hospital and its effects. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 22 by NYT_Author_2,The issue of health continues to make headlines. A new report on vaccine was published yesterday. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 23 by NYT_Author_2,The recent health has sparked debate in the media. The issue of health continues to make headlines. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 24 by NYT_Author_2,Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 25 by NYT_Author_2,The issue of health continues to make headlines. A new report on vaccine was published yesterday. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 26 by NYT_Author_2,The issue of health continues to make headlines. A new report on vaccine was published yesterday. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 27 by NYT_Author_2,Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 28 by NYT_Author_2,The recent health has sparked debate in the media. The recent health has sparked debate in the media. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 29 by NYT_Author_2,Many people are concerned about hospital and its effects. A new report on vaccine was published yesterday. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 30 by NYT_Author_2,A new report on vaccine was published yesterday. Experts discussed how hospital impacts society today. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 31 by NYT_Author_2,A new report on vaccine was published yesterday. Experts discussed how hospital impacts society today. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 32 by NYT_Author_2,The recent health has sparked debate in the media. The recent health has sparked debate in the media. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 33 by NYT_Author_2,The issue of health continues to make headlines. The recent health has sparked debate in the media. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 34 by NYT_Author_2,Many people are concerned about hospital and its effects. The issue of health continues to make headlines. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 35 by NYT_Author_2,Many people are concerned about hospital and its effects. The issue of health continues to make headlines. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 36 by NYT_Author_2,The recent health has sparked debate in the media. A new report on vaccine was published yesterday. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 37 by NYT_Author_2,A new report on vaccine was published yesterday. A new report on vaccine was published yesterday. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 38 by NYT_Author_2,Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 39 by NYT_Author_2,A new report on vaccine was published yesterday. A new report on vaccine was published yesterday. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 40 by NYT_Author_2,A new report on vaccine was published yesterday. Many people are concerned about hospital and its effects. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 41 by NYT_Author_2,The recent health has sparked debate in the media. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 42 by NYT_Author_2,Experts discussed how hospital impacts society today. The recent health has sparked debate in the media. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 43 by NYT_Author_2,Experts discussed how hospital impacts society today. The recent health has sparked debate in the media. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 44 by NYT_Author_2,The issue of health continues to make headlines. A new report on vaccine was published yesterday. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 45 by NYT_Author_2,The recent health has sparked debate in the media. Experts discussed how hospital impacts society today. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 46 by NYT_Author_2,The recent health has sparked debate in the media. The recent health has sparked debate in the media. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 47 by NYT_Author_2,Many people are concerned about hospital and its effects. The recent health has sparked debate in the media. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 48 by NYT_Author_2,Many people are concerned about hospital and its effects. Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 49 by NYT_Author_2,Experts discussed how hospital impacts society today. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 50 by NYT_Author_2,The recent health has sparked debate in the media. Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 51 by NYT_Author_2,The issue of health continues to make headlines. A new report on vaccine was published yesterday. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 52 by NYT_Author_2,The recent health has sparked debate in the media. The recent health has sparked debate in the media. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 53 by NYT_Author_2,Experts discussed how hospital impacts society today. Many people are concerned about hospital and its effects. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 54 by NYT_Author_2,Many people are concerned about hospital and its effects. The issue of health continues to make headlines. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 55 by NYT_Author_2,The recent health has sparked debate in the media. The recent health has sparked debate in the media. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 56 by NYT_Author_2,A new report on vaccine was published yesterday. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 57 by NYT_Author_2,A new report on vaccine was published yesterday. A new report on vaccine was published yesterday. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 58 by NYT_Author_2,Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 59 by NYT_Author_2,Experts discussed how hospital impacts society today. Many people are concerned about hospital and its effects. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 60 by NYT_Author_2,A new report on vaccine was published yesterday. The recent health has sparked debate in the media. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 61 by NYT_Author_2,Many people are concerned about hospital and its effects. Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 62 by NYT_Author_2,The recent health has sparked debate in the media. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 63 by NYT_Author_2,The recent health has sparked debate in the media. The recent health has sparked debate in the media. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 64 by NYT_Author_2,Many people are concerned about hospital and its effects. A new report on vaccine was published yesterday. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 65 by NYT_Author_2,A new report on vaccine was published yesterday. The recent health has sparked debate in the media. A new report on vaccine was published yesterday.
NYT_Author_2,The New York Times,Sample Title 66 by NYT_Author_2,The issue of health continues to make headlines. The issue of health continues to make headlines. The recent health has sparked debate in the media.
NYT_Author_2,The New York Times,Sample Title 67 by NYT_Author_2,Experts discussed how hospital impacts society today. The recent health has sparked debate in the media. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 68 by NYT_Author_2,A new report on vaccine was published yesterday. Many people are concerned about hospital and its effects. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 69 by NYT_Author_2,Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 70 by NYT_Author_2,A new report on vaccine was published yesterday. The recent health has sparked debate in the media. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 71 by NYT_Author_2,Many people are concerned about hospital and its effects. Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 72 by NYT_Author_2,Many people are concerned about hospital and its effects. A new report on vaccine was published yesterday. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 73 by NYT_Author_2,The recent health has sparked debate in the media. The issue of health continues to make headlines. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 74 by NYT_Author_2,A new report on vaccine was published yesterday. Experts discussed how hospital impacts society today. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 75 by NYT_Author_2,Experts discussed how hospital impacts society today. Many people are concerned about hospital and its effects. Experts discussed how hospital impacts society today.
NYT_Author_2,The New York Times,Sample Title 76 by NYT_Author_2,The issue of health continues to make headlines. Many people are concerned about hospital and its effects. The issue of health continues to make headlines.
NYT_Author_2,The New York Times,Sample Title 77 by NYT_Author_2,Experts discussed how hospital impacts society today. The issue of health continues to make headlines. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 78 by NYT_Author_2,The recent health has sparked debate in the media. The recent health has sparked debate in the media. Many people are concerned about hospital and its effects.
NYT_Author_2,The New York Times,Sample Title 79 by NYT_Author_2,The recent health has sparked debate in the media. Experts discussed how hospital impacts society today. The recent health has sparked debate in the media.
